fc_id,sku_id,on_hand_qty,committed_qty,available_qty,reorder_point,max_stock_level,last_updated
FC_CA01,SKU000813,530,174,356,84,840,2025-07-23
FC_CA01,SKU000540,860,269,591,140,1400,2025-07-24
FC_CA01,SKU000700,252,69,183,56,560,2025-07-22
FC_CA01,SKU000001,549,167,382,84,840,2025-07-23
FC_CA01,SKU000960,528,157,371,84,840,2025-07-25
FC_CA01,SKU000169,639,192,447,112,1120,2025-07-23
FC_CA01,SKU001106,1621,437,1184,210,2100,2025-07-27
FC_CA01,SKU001970,821,228,593,140,1400,2025-07-24
FC_CA01,SKU000240,260,96,164,56,560,2025-07-24
FC_CA01,SKU001586,1556,502,1054,210,2100,2025-07-22
FC_CA01,SKU000104,607,167,440,112,1120,2025-07-21
FC_CA01,SKU000450,622,159,463,112,1120,2025-07-26
FC_CA01,SKU000751,567,166,401,112,1120,2025-07-25
FC_CA01,SKU001172,883,247,636,140,1400,2025-07-26
FC_CA01,SKU001753,231,58,173,56,560,2025-07-22
FC_CA01,SKU001137,640,200,440,112,1120,2025-07-26
FC_CA01,SKU001946,885,265,620,140,1400,2025-07-26
FC_CA01,SKU001145,531,160,371,84,840,2025-07-25
FC_CA01,SKU000883,803,232,571,140,1400,2025-07-25
FC_CA01,SKU001028,837,256,581,140,1400,2025-07-26
FC_CA01,SKU001112,261,84,177,56,560,2025-07-22
FC_CA01,SKU000672,611,166,445,112,1120,2025-07-21
FC_CA01,SKU000195,806,242,564,140,1400,2025-07-26
FC_CA01,SKU000060,510,137,373,84,840,2025-07-27
FC_CA01,SKU000611,867,259,608,140,1400,2025-07-21
FC_CA01,SKU001410,251,83,168,56,560,2025-07-23
FC_CA01,SKU000034,614,196,418,112,1120,2025-07-23
FC_CA01,SKU001694,271,68,203,56,560,2025-07-23
FC_CA01,SKU001126,513,140,373,84,840,2025-07-25
FC_CA01,SKU000260,839,259,580,140,1400,2025-07-26
FC_CA01,SKU001769,234,55,179,56,560,2025-07-26
FC_CA01,SKU000123,764,240,524,140,1400,2025-07-26
FC_CA01,SKU000575,838,256,582,140,1400,2025-07-24
FC_CA01,SKU000218,1579,453,1126,210,2100,2025-07-24
FC_CA01,SKU000029,1635,511,1124,210,2100,2025-07-22
FC_CA01,SKU000701,1595,459,1136,210,2100,2025-07-21
FC_CA01,SKU000836,842,261,581,140,1400,2025-07-27
FC_CA01,SKU000515,1600,474,1126,210,2100,2025-07-24
FC_CA01,SKU000113,547,165,382,84,840,2025-07-23
FC_CA01,SKU001664,249,75,174,56,560,2025-07-26
FC_CA01,SKU000215,846,264,582,140,1400,2025-07-22
FC_CA01,SKU000437,1569,494,1075,210,2100,2025-07-22
FC_CA01,SKU000778,535,141,394,84,840,2025-07-27
FC_CA01,SKU001235,1545,518,1027,210,2100,2025-07-23
FC_CA01,SKU000094,1510,451,1059,210,2100,2025-07-21
FC_CA01,SKU001557,639,176,463,112,1120,2025-07-21
FC_CA01,SKU000618,548,155,393,84,840,2025-07-23
FC_CA01,SKU001478,820,223,597,140,1400,2025-07-24
FC_CA01,SKU000766,243,66,177,56,560,2025-07-21
FC_CA01,SKU001974,517,165,352,84,840,2025-07-23
FC_CA01,SKU000497,1583,482,1101,210,2100,2025-07-25
FC_CA01,SKU001954,1546,495,1051,210,2100,2025-07-27
FC_CA01,SKU001177,555,165,390,84,840,2025-07-23
FC_CA01,SKU001998,872,242,630,140,1400,2025-07-26
FC_CA01,SKU001942,242,72,170,56,560,2025-07-22
FC_CA01,SKU001959,831,243,588,140,1400,2025-07-26
FC_CA01,SKU001178,1571,490,1081,210,2100,2025-07-23
FC_CA01,SKU001915,1571,469,1102,210,2100,2025-07-22
FC_CA01,SKU001046,633,165,468,112,1120,2025-07-21
FC_CA01,SKU001866,1515,464,1051,210,2100,2025-07-23
FC_CA01,SKU000666,785,237,548,140,1400,2025-07-21
FC_CA01,SKU000664,856,250,606,140,1400,2025-07-21
FC_CA01,SKU000479,803,267,536,140,1400,2025-07-26
FC_CA01,SKU000425,854,256,598,140,1400,2025-07-25
FC_CA01,SKU000710,237,80,157,56,560,2025-07-25
FC_CA01,SKU001944,1605,532,1073,210,2100,2025-07-24
FC_CA01,SKU000259,1555,438,1117,210,2100,2025-07-26
FC_CA01,SKU000190,1621,456,1165,210,2100,2025-07-25
FC_CA01,SKU001872,278,78,200,56,560,2025-07-22
FC_CA01,SKU000934,562,174,388,84,840,2025-07-27
FC_CA01,SKU001055,591,168,423,112,1120,2025-07-24
FC_CA01,SKU000338,605,180,425,112,1120,2025-07-26
FC_CA01,SKU000876,894,251,643,140,1400,2025-07-27
FC_CA01,SKU001472,813,246,567,140,1400,2025-07-27
FC_CA01,SKU000135,551,145,406,84,840,2025-07-27
FC_CA01,SKU001180,823,236,587,140,1400,2025-07-26
FC_CA01,SKU000251,262,80,182,56,560,2025-07-27
FC_CA01,SKU000387,1592,456,1136,210,2100,2025-07-27
FC_CA01,SKU001909,1610,468,1142,210,2100,2025-07-27
FC_CA01,SKU000177,649,197,452,112,1120,2025-07-24
FC_CA01,SKU000252,634,217,417,112,1120,2025-07-25
FC_CA01,SKU001001,1546,460,1086,210,2100,2025-07-27
FC_CA01,SKU001992,262,77,185,56,560,2025-07-26
FC_CA01,SKU001560,1541,518,1023,210,2100,2025-07-25
FC_CA01,SKU000804,266,66,200,56,560,2025-07-26
FC_CA01,SKU001766,573,177,396,84,840,2025-07-26
FC_CA01,SKU001227,1587,468,1119,210,2100,2025-07-22
FC_CA01,SKU001795,834,235,599,140,1400,2025-07-22
FC_CA01,SKU000755,565,166,399,84,840,2025-07-24
FC_CA01,SKU000740,549,168,381,84,840,2025-07-22
FC_CA01,SKU001453,515,175,340,84,840,2025-07-26
FC_CA01,SKU001890,629,201,428,112,1120,2025-07-24
FC_CA01,SKU001439,1653,500,1153,210,2100,2025-07-26
FC_CA01,SKU000386,531,145,386,84,840,2025-07-21
FC_CA01,SKU001003,1574,481,1093,210,2100,2025-07-21
FC_CA01,SKU000149,579,168,411,112,1120,2025-07-25
FC_CA01,SKU000339,854,244,610,140,1400,2025-07-23
FC_CA01,SKU001291,1559,488,1071,210,2100,2025-07-23
FC_CA01,SKU000466,786,217,569,140,1400,2025-07-27
FC_CA01,SKU001849,265,81,184,56,560,2025-07-25
FC_CA01,SKU000284,856,261,595,140,1400,2025-07-22
FC_CA01,SKU000674,255,68,187,56,560,2025-07-21
FC_CA01,SKU001640,646,194,452,112,1120,2025-07-27
FC_CA01,SKU001022,1556,475,1081,210,2100,2025-07-23
FC_CA01,SKU000899,622,193,429,84,840,2025-07-22
FC_CA01,SKU000361,600,156,444,112,1120,2025-07-26
FC_CA01,SKU000081,542,159,383,84,840,2025-07-27
FC_CA01,SKU001724,1618,489,1129,210,2100,2025-07-25
FC_CA01,SKU000780,612,201,411,112,1120,2025-07-25
FC_CA01,SKU000631,595,170,425,112,1120,2025-07-27
FC_CA01,SKU001208,846,272,574,140,1400,2025-07-26
FC_CA01,SKU000595,1572,418,1154,210,2100,2025-07-27
FC_CA01,SKU000676,1613,488,1125,210,2100,2025-07-27
FC_CA01,SKU001107,595,186,409,112,1120,2025-07-27
FC_CA01,SKU001431,544,172,372,84,840,2025-07-24
FC_CA01,SKU001314,245,69,176,56,560,2025-07-22
FC_CA01,SKU000758,535,156,379,84,840,2025-07-21
FC_CA01,SKU000480,1572,461,1111,210,2100,2025-07-21
FC_CA01,SKU001295,1570,464,1106,210,2100,2025-07-23
FC_CA01,SKU001562,624,163,461,112,1120,2025-07-23
FC_CA01,SKU001471,810,247,563,140,1400,2025-07-25
FC_CA01,SKU001755,1586,474,1112,210,2100,2025-07-25
FC_CA01,SKU001675,823,241,582,140,1400,2025-07-21
FC_CA01,SKU000647,235,78,157,56,560,2025-07-23
FC_CA01,SKU001408,1550,449,1101,210,2100,2025-07-21
FC_CA01,SKU000827,568,173,395,84,840,2025-07-24
FC_CA01,SKU000865,1589,499,1090,210,2100,2025-07-22
FC_CA01,SKU001213,1657,487,1170,210,2100,2025-07-24
FC_CA01,SKU000709,536,156,380,84,840,2025-07-22
FC_CA01,SKU001167,617,201,416,112,1120,2025-07-22
FC_CA01,SKU001420,538,150,388,84,840,2025-07-24
FC_CA01,SKU001626,1642,481,1161,210,2100,2025-07-23
FC_CA01,SKU001985,563,185,378,84,840,2025-07-21
FC_CA01,SKU001311,828,245,583,140,1400,2025-07-26
FC_CA01,SKU002000,488,165,323,84,840,2025-07-25
FC_CA01,SKU000694,256,71,185,56,560,2025-07-25
FC_CA01,SKU000768,877,257,620,140,1400,2025-07-22
FC_CA01,SKU000161,565,186,379,84,840,2025-07-23
FC_CA01,SKU001187,260,78,182,56,560,2025-07-23
FC_CA01,SKU000274,562,155,407,84,840,2025-07-25
FC_CA01,SKU001070,880,231,649,140,1400,2025-07-23
FC_CA01,SKU000867,542,141,401,84,840,2025-07-27
FC_CA01,SKU000167,592,177,415,112,1120,2025-07-24
FC_CA01,SKU000477,546,163,383,84,840,2025-07-25
FC_CA01,SKU001264,297,80,217,56,560,2025-07-26
FC_CA01,SKU001796,634,204,430,112,1120,2025-07-26
FC_CA01,SKU001723,895,288,607,140,1400,2025-07-21
FC_CA01,SKU001802,541,154,387,84,840,2025-07-24
FC_CA01,SKU000056,517,144,373,84,840,2025-07-27
FC_CA01,SKU001460,270,79,191,56,560,2025-07-26
FC_CA01,SKU000765,592,168,424,112,1120,2025-07-21
FC_CA01,SKU000603,571,174,397,84,840,2025-07-21
FC_CA01,SKU000163,1588,459,1129,210,2100,2025-07-27
FC_CA01,SKU001300,676,200,476,112,1120,2025-07-24
FC_CA01,SKU000020,556,192,364,84,840,2025-07-27
FC_CA01,SKU001268,241,61,180,56,560,2025-07-22
FC_CA01,SKU000287,495,141,354,84,840,2025-07-26
FC_CA01,SKU000194,600,174,426,112,1120,2025-07-21
FC_CA01,SKU001692,279,72,207,56,560,2025-07-24
FC_CA01,SKU000359,839,246,593,140,1400,2025-07-24
FC_CA01,SKU000803,607,201,406,112,1120,2025-07-23
FC_CA01,SKU000416,251,78,173,56,560,2025-07-27
FC_CA01,SKU001632,546,188,358,84,840,2025-07-26
FC_CA01,SKU000270,250,78,172,56,560,2025-07-27
FC_CA01,SKU001838,1542,468,1074,210,2100,2025-07-26
FC_CA01,SKU000131,266,85,181,56,560,2025-07-25
FC_CA01,SKU000212,749,195,554,140,1400,2025-07-21
FC_CA01,SKU001341,831,262,569,140,1400,2025-07-22
FC_CA01,SKU001847,563,181,382,84,840,2025-07-27
FC_CA01,SKU000695,610,173,437,112,1120,2025-07-26
FC_CA01,SKU000687,533,144,389,84,840,2025-07-25
FC_CA01,SKU001964,865,259,606,140,1400,2025-07-26
FC_CA01,SKU000276,539,152,387,84,840,2025-07-25
FC_CA01,SKU000869,480,143,337,84,840,2025-07-22
FC_CA01,SKU000289,547,156,391,84,840,2025-07-22
FC_CA01,SKU001720,1637,502,1135,210,2100,2025-07-23
FC_CA01,SKU001958,600,182,418,112,1120,2025-07-25
FC_CA01,SKU000192,1577,488,1089,210,2100,2025-07-24
FC_CA01,SKU000022,845,253,592,140,1400,2025-07-24
FC_CA01,SKU001895,645,187,458,112,1120,2025-07-25
FC_CA01,SKU000524,856,255,601,140,1400,2025-07-21
FC_CA01,SKU000248,1687,505,1182,210,2100,2025-07-24
FC_CA01,SKU000499,587,177,410,112,1120,2025-07-23
FC_CA01,SKU001424,1521,493,1028,210,2100,2025-07-22
FC_CA01,SKU001014,266,71,195,56,560,2025-07-25
FC_CA01,SKU001458,281,88,193,56,560,2025-07-23
FC_CA01,SKU001615,1550,425,1125,210,2100,2025-07-27
FC_CA01,SKU000171,1623,520,1103,210,2100,2025-07-23
FC_CA01,SKU001338,1569,503,1066,210,2100,2025-07-24
FC_CA01,SKU001681,845,242,603,140,1400,2025-07-27
FC_CA01,SKU000115,1587,424,1163,210,2100,2025-07-27
FC_CA01,SKU001386,539,148,391,84,840,2025-07-25
FC_CA01,SKU001030,633,201,432,112,1120,2025-07-23
FC_CA01,SKU000211,788,228,560,140,1400,2025-07-21
FC_CA01,SKU000896,839,278,561,140,1400,2025-07-23
FC_CA01,SKU000150,864,248,616,140,1400,2025-07-21
FC_CA01,SKU001645,805,226,579,140,1400,2025-07-21
FC_CA01,SKU000554,606,174,432,112,1120,2025-07-27
FC_CA01,SKU001063,825,256,569,140,1400,2025-07-25
FC_CA01,SKU001765,902,264,638,140,1400,2025-07-21
FC_CA01,SKU001514,258,75,183,56,560,2025-07-24
FC_CA01,SKU001219,606,162,444,112,1120,2025-07-21
FC_CA01,SKU000327,809,244,565,140,1400,2025-07-21
FC_CA01,SKU000520,595,190,405,84,840,2025-07-23
FC_CA01,SKU001054,1530,450,1080,210,2100,2025-07-24
FC_CA01,SKU000155,1600,504,1096,210,2100,2025-07-22
FC_CA01,SKU001147,599,186,413,112,1120,2025-07-26
FC_CA01,SKU000918,586,190,396,112,1120,2025-07-21
FC_CA01,SKU000468,827,244,583,140,1400,2025-07-23
FC_CA01,SKU000873,653,188,465,112,1120,2025-07-25
FC_CA01,SKU000351,563,198,365,84,840,2025-07-24
FC_CA01,SKU001421,595,173,422,112,1120,2025-07-23
FC_CA01,SKU000268,265,75,190,56,560,2025-07-23
FC_CA01,SKU001438,837,236,601,140,1400,2025-07-26
FC_CA01,SKU001856,256,76,180,56,560,2025-07-24
FC_CA01,SKU000568,255,75,180,56,560,2025-07-23
FC_CA01,SKU000267,605,181,424,112,1120,2025-07-21
FC_CA01,SKU001206,533,149,384,84,840,2025-07-23
FC_CA01,SKU001663,592,177,415,84,840,2025-07-24
FC_CA01,SKU000531,606,203,403,112,1120,2025-07-22
FC_CA01,SKU000951,251,91,160,56,560,2025-07-24
FC_CA01,SKU000093,852,251,601,140,1400,2025-07-21
FC_CA01,SKU000097,235,64,171,56,560,2025-07-24
FC_CA01,SKU000588,862,259,603,140,1400,2025-07-26
FC_CA01,SKU000832,534,191,343,84,840,2025-07-22
FC_CA01,SKU000401,850,272,578,140,1400,2025-07-27
FC_CA01,SKU000049,834,268,566,140,1400,2025-07-27
FC_CA01,SKU000776,819,262,557,140,1400,2025-07-26
FC_CA01,SKU000074,1626,463,1163,210,2100,2025-07-25
FC_CA01,SKU000222,836,269,567,140,1400,2025-07-22
FC_CA01,SKU001676,1575,459,1116,210,2100,2025-07-21
FC_CA01,SKU001049,575,189,386,84,840,2025-07-26
FC_CA01,SKU001216,656,224,432,112,1120,2025-07-26
FC_CA01,SKU000383,1491,454,1037,210,2100,2025-07-24
FC_CA01,SKU001456,649,193,456,112,1120,2025-07-22
FC_CA01,SKU000476,579,174,405,84,840,2025-07-23
FC_CA01,SKU000811,548,174,374,84,840,2025-07-22
FC_CA01,SKU001465,872,263,609,140,1400,2025-07-21
FC_CA01,SKU000090,1569,461,1108,210,2100,2025-07-22
FC_CA01,SKU001880,545,156,389,84,840,2025-07-27
FC_CA01,SKU000550,858,251,607,140,1400,2025-07-22
FC_CA01,SKU001498,603,182,421,112,1120,2025-07-27
FC_CA01,SKU000582,813,250,563,140,1400,2025-07-24
FC_CA01,SKU001713,592,197,395,112,1120,2025-07-27
FC_CA01,SKU001551,802,247,555,140,1400,2025-07-22
FC_CA01,SKU000739,863,290,573,140,1400,2025-07-21
FC_CA01,SKU001832,595,186,409,112,1120,2025-07-25
FC_CA01,SKU000692,627,197,430,112,1120,2025-07-22
FC_CA01,SKU000451,236,62,174,56,560,2025-07-26
FC_CA01,SKU001536,261,84,177,56,560,2025-07-25
FC_CA01,SKU001430,1548,505,1043,210,2100,2025-07-21
FC_CA01,SKU001792,833,229,604,140,1400,2025-07-26
FC_CA01,SKU000441,269,75,194,56,560,2025-07-27
FC_CA01,SKU000528,899,277,622,140,1400,2025-07-26
FC_CA01,SKU000061,629,206,423,112,1120,2025-07-23
FC_CA01,SKU000367,607,163,444,112,1120,2025-07-21
FC_CA01,SKU000756,553,154,399,84,840,2025-07-23
FC_CA01,SKU000279,1546,451,1095,210,2100,2025-07-22
FC_CA01,SKU000332,840,266,574,140,1400,2025-07-24
FC_CA01,SKU000423,1538,452,1086,210,2100,2025-07-21
FC_CA01,SKU001704,595,176,419,112,1120,2025-07-24
FC_CA01,SKU001641,534,146,388,84,840,2025-07-25
FC_CA01,SKU000037,692,207,485,112,1120,2025-07-21
FC_CA01,SKU001318,515,135,380,84,840,2025-07-26
FC_CA01,SKU000138,625,203,422,112,1120,2025-07-24
FC_CA01,SKU001273,520,156,364,84,840,2025-07-22
FC_CA01,SKU000736,578,178,400,84,840,2025-07-25
FC_CA01,SKU000384,261,79,182,56,560,2025-07-25
FC_CA01,SKU000573,1638,476,1162,210,2100,2025-07-23
FC_CA01,SKU001613,616,178,438,112,1120,2025-07-26
FC_CA01,SKU001163,608,184,424,112,1120,2025-07-22
FC_CA01,SKU000058,625,178,447,112,1120,2025-07-24
FC_CA01,SKU000309,534,137,397,84,840,2025-07-25
FC_CA01,SKU001290,225,60,165,56,560,2025-07-26
FC_CA01,SKU000839,279,88,191,56,560,2025-07-21
FC_CA01,SKU000285,526,134,392,84,840,2025-07-26
FC_CA01,SKU001267,827,267,560,140,1400,2025-07-24
FC_CA01,SKU001243,504,154,350,84,840,2025-07-27
FC_CA01,SKU001930,535,151,384,84,840,2025-07-26
FC_CA01,SKU001381,628,179,449,112,1120,2025-07-27
FC_CA01,SKU001098,1587,526,1061,210,2100,2025-07-26
FC_CA01,SKU001475,237,69,168,56,560,2025-07-22
FC_CA01,SKU000112,1600,477,1123,210,2100,2025-07-23
FC_CA01,SKU001390,541,158,383,84,840,2025-07-26
FC_CA01,SKU001158,604,178,426,112,1120,2025-07-27
FC_CA01,SKU000271,629,183,446,112,1120,2025-07-25
FC_CA01,SKU001057,539,142,397,84,840,2025-07-26
FC_CA01,SKU000821,569,181,388,84,840,2025-07-26
FC_CA01,SKU001710,602,186,416,112,1120,2025-07-22
FC_CA01,SKU001737,845,254,591,140,1400,2025-07-26
FC_CA01,SKU001468,626,184,442,112,1120,2025-07-22
FC_CA01,SKU000032,556,177,379,84,840,2025-07-23
FC_CA01,SKU000877,1598,500,1098,210,2100,2025-07-21
FC_CA01,SKU000886,247,88,159,56,560,2025-07-27
FC_CA01,SKU001174,555,153,402,84,840,2025-07-27
FC_CA01,SKU000340,603,192,411,112,1120,2025-07-23
FC_CA01,SKU000656,1606,478,1128,210,2100,2025-07-22
FC_CA01,SKU001922,870,265,605,140,1400,2025-07-26
FC_CA01,SKU000312,845,240,605,140,1400,2025-07-25
FC_CA01,SKU000052,240,70,170,56,560,2025-07-26
FC_CA01,SKU001031,258,74,184,56,560,2025-07-21
FC_CA01,SKU000947,623,185,438,112,1120,2025-07-26
FC_CA01,SKU001788,252,84,168,56,560,2025-07-21
FC_CA01,SKU001328,628,196,432,112,1120,2025-07-21
FC_CA01,SKU000028,1554,454,1100,210,2100,2025-07-22
FC_CA01,SKU000487,277,69,208,56,560,2025-07-23
FC_CA01,SKU001773,272,88,184,56,560,2025-07-26
FC_CA01,SKU000439,241,69,172,56,560,2025-07-26
FC_CA01,SKU001196,874,258,616,140,1400,2025-07-22
FC_CA01,SKU001482,819,224,595,140,1400,2025-07-24
FC_CA01,SKU001625,864,258,606,140,1400,2025-07-24
FC_CA01,SKU000178,534,161,373,84,840,2025-07-25
FC_CA01,SKU001440,1649,491,1158,210,2100,2025-07-23
FC_CA01,SKU001860,236,75,161,56,560,2025-07-26
FC_CA01,SKU000080,829,205,624,140,1400,2025-07-27
FC_CA01,SKU001693,611,192,419,112,1120,2025-07-24
FC_CA01,SKU000919,817,265,552,140,1400,2025-07-23
FC_CA01,SKU001140,842,276,566,140,1400,2025-07-21
FC_CA01,SKU001837,631,172,459,112,1120,2025-07-21
FC_CA01,SKU001082,233,70,163,56,560,2025-07-23
FC_CA01,SKU000474,878,287,591,140,1400,2025-07-27
FC_CA01,SKU001301,583,182,401,112,1120,2025-07-27
FC_CA01,SKU001885,638,204,434,112,1120,2025-07-27
FC_CA01,SKU001492,247,93,154,56,560,2025-07-21
FC_CA01,SKU001820,616,188,428,112,1120,2025-07-26
FC_CA01,SKU001667,623,197,426,112,1120,2025-07-24
FC_CA01,SKU000789,566,159,407,112,1120,2025-07-26
FC_CA01,SKU001074,255,76,179,56,560,2025-07-25
FC_CA01,SKU000435,1575,436,1139,210,2100,2025-07-27
FC_CA01,SKU001842,630,177,453,112,1120,2025-07-24
FC_CA01,SKU000543,854,245,609,140,1400,2025-07-22
FC_CA01,SKU001868,533,151,382,84,840,2025-07-27
FC_CA01,SKU001977,642,216,426,112,1120,2025-07-26
FC_CA01,SKU001072,1531,458,1073,210,2100,2025-07-27
FC_CA01,SKU001349,260,78,182,56,560,2025-07-24
FC_CA01,SKU000753,884,274,610,140,1400,2025-07-27
FC_CA01,SKU000457,929,280,649,140,1400,2025-07-26
FC_CA01,SKU001387,850,255,595,140,1400,2025-07-24
FC_CA01,SKU000707,263,81,182,56,560,2025-07-23
FC_CA01,SKU000159,807,240,567,140,1400,2025-07-23
FC_CA01,SKU001945,1571,494,1077,210,2100,2025-07-21
FC_CA01,SKU001414,1621,472,1149,210,2100,2025-07-23
FC_CA01,SKU001042,560,175,385,112,1120,2025-07-22
FC_CA01,SKU001373,249,74,175,56,560,2025-07-23
FC_CA01,SKU000019,1637,500,1137,210,2100,2025-07-25
FC_CA01,SKU001517,251,69,182,56,560,2025-07-27
FC_CA01,SKU001094,621,181,440,112,1120,2025-07-25
FC_CA01,SKU000124,263,70,193,56,560,2025-07-27
FC_CA01,SKU000293,619,198,421,112,1120,2025-07-26
FC_CA01,SKU001829,1531,460,1071,210,2100,2025-07-21
FC_CA01,SKU000472,246,86,160,56,560,2025-07-23
FC_CA01,SKU000096,1579,509,1070,210,2100,2025-07-26
FC_CA01,SKU000930,1573,514,1059,210,2100,2025-07-25
FC_CA01,SKU000337,259,64,195,56,560,2025-07-25
FC_CA01,SKU000559,592,171,421,84,840,2025-07-26
FC_CA01,SKU001068,565,166,399,84,840,2025-07-27
FC_CA01,SKU000956,828,232,596,140,1400,2025-07-25
FC_CA01,SKU000660,642,187,455,112,1120,2025-07-24
FC_CA01,SKU001479,662,170,492,112,1120,2025-07-24
FC_CA01,SKU001332,231,47,184,56,560,2025-07-26
FC_CA01,SKU001400,656,195,461,112,1120,2025-07-25
FC_CA01,SKU000014,854,246,608,140,1400,2025-07-24
FC_CA01,SKU001555,829,236,593,140,1400,2025-07-23
FC_CA01,SKU000862,546,142,404,84,840,2025-07-21
FC_CA01,SKU000430,827,270,557,140,1400,2025-07-22
FC_CA01,SKU001449,1554,426,1128,210,2100,2025-07-24
