customer_id,registration_date,customer_type,city,state,zip_code,customer_segment,total_orders
C000090,2024-10-22,individual,Andersonport,OH,48296,medium_frequency,0
C000091,2022-01-08,business,West Jasonbury,FL,87917,high_frequency,8
C000092,2024-01-07,individual,West Kimberlychester,CA,81852,medium_frequency,2
C000093,2023-11-06,individual,East Michelle,OH,23707,medium_frequency,2
C000094,2022-12-25,individual,Johnsonmouth,FL,54465,seasonal,2
C000095,2024-07-04,individual,West Erik,CA,92418,medium_frequency,2
C000096,2023-04-13,individual,South Monicafort,CA,29655,low_frequency,2
C000097,2022-08-23,individual,Port Samantha,NY,46331,seasonal,3
C000098,2024-01-14,individual,Loribury,MI,29720,high_frequency,1
C000099,2023-02-19,individual,Lake Jamesmouth,NY,37018,medium_frequency,3
C000100,2024-04-24,individual,Port Joshuahaven,NY,52887,medium_frequency,0
C000101,2022-11-25,individual,Sheilaville,IL,34738,low_frequency,4
C000102,2024-03-16,individual,New Sydney,GA,35296,seasonal,2
C000103,2022-01-01,individual,North Candacestad,NY,95992,low_frequency,6
C000104,2024-02-17,business,Samuelhaven,IL,15658,medium_frequency,2
C000105,2023-11-11,individual,Lamborough,TX,33887,medium_frequency,0
C000106,2022-09-03,individual,Lake Ryanhaven,NC,71076,high_frequency,4
C000107,2022-09-28,individual,West Ryan,NC,87563,medium_frequency,4
C000108,2024-07-23,business,Cindyville,FL,94840,low_frequency,0
C000109,2024-01-01,individual,Williamchester,TX,43254,medium_frequency,3
C000110,2024-03-11,individual,Terryside,IL,17184,low_frequency,1
C000111,2023-06-11,individual,South Elizabeth,MI,50196,low_frequency,3
C000112,2022-01-01,individual,New Ashley,TX,53726,seasonal,10
C000113,2024-07-26,individual,West Justinchester,NC,76520,low_frequency,0
C000114,2024-01-14,individual,Stevenmouth,OH,89056,low_frequency,1
C000115,2024-09-30,individual,New Thomas,MI,96964,medium_frequency,0
C000116,2024-04-12,individual,Lake Christopher,GA,68062,high_frequency,0
C000117,2024-07-14,individual,Clarencebury,OH,88685,medium_frequency,0
C000118,2023-08-08,individual,Jeffreyborough,TX,19814,seasonal,1
C000119,2024-03-07,individual,North Johnfort,MI,80621,low_frequency,0
C000120,2024-06-05,individual,South Robertshire,NY,25986,medium_frequency,2
C000121,2024-12-09,individual,Snyderbury,NC,19843,medium_frequency,0
C000122,2023-11-09,individual,Port Michelleville,nc,56225,low_frequency,0
C000123,2024-08-30,business,East Linda,PA,91715,medium_frequency,0
C000124,2023-05-19,wholesale,Williamsbury,IL,16407,medium_frequency,3
C000125,2022-06-01,business,Andersonmouth,FL,88001,high_frequency,2
C000126,2022-01-01,individual,Stephaniemouth,NC,80802,medium_frequency,6
C000127,2024-08-25,wholesale,Rivasside,PA,58947,medium_frequency,1
C000128,2022-09-08,individual,Lake Michelle,MI,59492,medium_frequency,2
C000129,2022-10-16,individual,Karenview,IL,68828,seasonal,5
C000130,2024-10-15,individual,Simsview,MI,58155,medium_frequency,1
C000131,2024-09-09,individual,Lake Justinview,FL,44521,medium_frequency,0
C000132,2023-10-20,individual,,CA,18637,seasonal,1
C000133,2024-01-29,individual,East Patrick,TX,20529,medium_frequency,0
C000134,2022-01-04,individual,North Robert,NC,43870,low_frequency,5
C000135,2022-04-20,business,Perryborough,IL,55570,medium_frequency,3
C000136,2024-07-11,individual,Steinshire,CA,91664,high_frequency,0
C000137,2023-08-13,individual,Port Nicoleshire,CA,50358,medium_frequency,3
C000138,2024-05-14,individual,Smithstad,CA,39640,low_frequency,2
C000139,2024-12-02,individual,Castanedachester,IL,71046,high_frequency,0
C000140,2022-01-01,individual,South Jeffrey,IL,57626,seasonal,9
C000141,2023-08-02,individual,Johnsonmouth,IL,88171,low_frequency,1
C000142,2024-11-10,business,Ramseymouth,FL,17229,medium_frequency,0
C000143,2023-11-20,individual,South Brittanytown,GA,11504,medium_frequency,2
C000144,2024-04-23,individual,Taylormouth,TX,24320,high_frequency,0
C000145,2023-02-02,individual,West Nicholasborough,IL,60099,medium_frequency,5
C000146,2023-06-07,individual,Matthewfurt,OH,36972,high_frequency,2
C000147,2024-01-12,individual,Kingland,TX,62145,low_frequency,1
C000148,2024-01-15,wholesale,Lake Amberstad,NY,29890,seasonal,2
C000149,2024-07-02,individual,Port Susanton,NY,99359,medium_frequency,2
C000150,2024-04-11,individual,East Jamestown,OH,81940,medium_frequency,1
C000151,2023-10-21,individual,East David,MI,88248,medium_frequency,3
C000152,2024-04-27,individual,New Staciemouth,GA,92181,seasonal,1
C000153,2024-01-12,individual,Katieburgh,TX,79916,high_frequency,1
C000154,2024-05-20,individual,Port Loriport,PA,14669,medium_frequency,1
C000155,2024-10-19,individual,West Barbarafurt,NC,52491,low_frequency,0
C000156,2024-05-10,individual,North Brittany,NY,82714,low_frequency,0
C000157,2024-09-29,individual,North Heidi,NY,40030,low_frequency,0
C000158,2024-10-20,individual,Port Tonyaton,CA,46009,medium_frequency,0
C000159,2024-07-23,business,Stanleyland,CA,66818,medium_frequency,0
C000160,2023-10-30,individual,Alexanderchester,NC,64752,medium_frequency,0
C000161,2023-11-02,individual,South Susanmouth,CA,93209,medium_frequency,0
C000162,2023-05-12,individual,South Gregory,FL,68887,medium_frequency,4
C000163,2024-07-15,individual,Christinaside,MI,63873,medium_frequency,1
C000164,2024-03-29,individual,Grahamshire,MI,35680,low_frequency,1
C000165,2024-09-15,individual,Melissaland,OH,37060,high_frequency,0
C000166,2024-03-28,individual,Sanchezmouth,MI,75192,medium_frequency,2
C000167,2024-06-29,individual,Rogersfort,OH,43101,medium_frequency,1
C000168,2024-12-23,individual,South Jason,OH,34363,medium_frequency,0
C000169,2024-03-26,individual,Joshuaview,FL,73349,high_frequency,1
C000170,2024-07-23,individual,New Stacyland,NY,32136,medium_frequency,1
C000171,2024-03-24,individual,Freemanbury,GA,91020,high_frequency,1
C000172,2024-03-02,individual,Brewerfort,IL,59244,medium_frequency,3
C000173,2023-12-18,individual,North Kellyfurt,GA,91174,medium_frequency,0
C000174,2024-08-06,business,West Elizabeth,IL,48869,medium_frequency,1
C000175,2024-10-31,individual,Transtad,FL,56272,high_frequency,0
C000176,2024-11-27,individual,Michaelmouth,GA,36010,low_frequency,0
C000177,2024-11-30,individual,Johnville,GA,95041,low_frequency,0
C000178,2022-01-01,business,West David,FL,70737,low_frequency,2
C000179,2022-12-29,individual,East Javier,CA,63965,seasonal,0
C000180,2023-09-19,individual,Jennyhaven,NY,78723,medium_frequency,2
C000181,2024-02-25,individual,Tinaborough,IL,39330,medium_frequency,1
C000182,2024-08-10,individual,West Harry,CA,02355,medium_frequency,0
C000183,2024-03-30,individual,West Brandon,PA,07647,low_frequency,2
C000184,2024-10-30,individual,Heidiberg,TX,84107,medium_frequency,0
C000185,2024-08-03,individual,Garciatown,OH,75744,high_frequency,0
C000186,2024-10-09,individual,Taylormouth,FL,45158,medium_frequency,0
C000187,2023-11-09,individual,North Johnny,GA,63117,medium_frequency,1
C000188,2023-06-02,individual,,IL,10211,low_frequency,3
C000189,2022-01-01,individual,East Edwardshire,GA,40325,low_frequency,2
C000190,2024-10-08,individual,East Davidchester,CA,79972,seasonal,1
C000191,2024-02-23,individual,Port Alexandra,GA,59550,low_frequency,0
C000192,2023-08-12,individual,Evansshire,TX,56708,low_frequency,2
C000193,2023-04-25,individual,Ashleyton,MI,80406,medium_frequency,3
C000194,2024-08-14,individual,Port Jaredborough,NY,35188,seasonal,1
C000195,2024-06-02,individual,East Johnside,TX,10339,low_frequency,3
C000196,2024-03-22,individual,North Ricky,CA,90858,low_frequency,1
C000197,2022-09-14,individual,Carterbury,IL,38263,medium_frequency,10
C000198,2024-01-08,individual,Jacquelinemouth,PA,09830,seasonal,1
C000199,2023-09-09,individual,West Kristin,FL,82428,medium_frequency,2
C000200,2024-01-12,individual,South Danny,OH,29967,low_frequency,0
C000201,2022-01-01,individual,West Margaret,IL,09860,medium_frequency,4
C000202,2024-11-04,individual,East Laurashire,NY,38329,low_frequency,0
C000203,2022-11-27,individual,Martinezport,PA,92216,low_frequency,2
C000204,2024-07-10,individual,Benderhaven,FL,71277,medium_frequency,1
C000205,2023-05-28,individual,Kimton,FL,57127,medium_frequency,2
C000206,2023-09-23,individual,Cassandratown,TX,12471,low_frequency,1
C000207,2023-09-28,individual,Lake Mary,FL,75893,medium_frequency,2
C000208,2022-08-11,individual,Port Emilyview,GA,76030,medium_frequency,4
C000209,2024-08-29,individual,Port Katelynfort,MI,68522,medium_frequency,0
C000210,2024-04-17,individual,Moonburgh,GA,77221,medium_frequency,0
C000211,2022-04-24,individual,Waltersfort,FL,12460,low_frequency,4
C000212,2024-12-22,individual,Baileymouth,CA,42582,low_frequency,0
C000213,2024-01-25,individual,Port Eugenechester,GA,91422,medium_frequency,2
C000214,2022-08-02,individual,Robertsfurt,IL,72603,low_frequency,3
C000215,2023-03-05,individual,South Christopherview,NC,42873,seasonal,1
C000216,2024-08-16,individual,Port Richardhaven,IL,00651,medium_frequency,2
C000217,2023-08-21,individual,Gutierrezborough,NC,68453,medium_frequency,1
C000218,2024-08-04,individual,Cindyfort,NC,82474,high_frequency,2
C000219,2022-06-09,individual,Wolfborough,NY,35504,low_frequency,7
C000220,2024-02-12,individual,West Samuel,TX,92022,seasonal,0
C000221,2024-02-20,individual,Martinezbury,IL,93533,medium_frequency,0
C000222,2024-07-19,individual,West Andrea,PA,72885,seasonal,0
C000223,2024-10-04,individual,Davisville,CA,60983,medium_frequency,1
C000224,2024-11-02,individual,Lake Marilynfort,GA,94427,seasonal,1
C000225,2024-02-04,individual,Williamview,OH,54960,medium_frequency,0
C000226,2023-05-23,individual,Bairdbury,CA,60372,medium_frequency,2
C000227,2024-05-11,individual,South James,NY,79062,high_frequency,0
C000228,2023-10-01,individual,Port Chad,PA,54888,medium_frequency,3
C000229,2024-06-27,individual,Sarahhaven,FL,35519,medium_frequency,1
C000230,2023-01-08,business,West Jessicashire,MI,76512,medium_frequency,6
C000231,2023-12-20,individual,Grimesmouth,OH,71093,medium_frequency,2
C000232,2023-03-03,business,Reedside,GA,71729,seasonal,1
C000233,2024-09-30,individual,Gibsonmouth,GA,25228,high_frequency,0
C000234,2023-05-23,individual,New Patrick,CA,54342,high_frequency,3
C000235,2023-09-22,individual,West Juliefurt,GA,51105,medium_frequency,3
C000236,2023-01-24,individual,South Tammie,FL,17048,low_frequency,4
C000237,2024-11-05,individual,Mollymouth,OH,13570,seasonal,1
C000238,2024-12-26,individual,Smithberg,OH,54237,low_frequency,0
C000239,2024-11-13,business,North Terrance,NY,35238,low_frequency,0
C000240,2023-04-20,individual,Cindyfurt,MI,85676,low_frequency,1
C000241,2024-07-19,individual,Port Markside,FL,50309,low_frequency,0
C000242,2024-06-21,individual,Courtneyfort,NY,71413,low_frequency,1
C000243,2024-10-01,wholesale,New Caseyport,GA,30318,low_frequency,0
C000244,2024-03-01,wholesale,South Tiffanyville,OH,58654,high_frequency,4
C000245,2024-06-11,individual,Lake Kevin,NC,04295,low_frequency,0
C000246,2023-12-30,individual,West Lauraport,PA,47485,medium_frequency,3
C000247,2024-06-14,individual,Ryanbury,NY,70122,low_frequency,2
C000248,2024-12-24,business,Knightburgh,IL,22781,medium_frequency,0
C000249,2024-04-23,individual,North Chelsea,IL,50641,low_frequency,2
C000250,2023-03-25,individual,South Roberta,MI,19259,low_frequency,1
C000251,2024-09-10,individual,South Dana,GA,60737,high_frequency,0
C000252,2023-12-31,individual,Elizabethmouth,MI,38201,medium_frequency,2
C000253,2024-06-15,individual,North Scott,MI,45794,seasonal,2
C000254,2024-07-24,business,,CA,90981,medium_frequency,3
C000255,2024-01-28,individual,Stephenport,IL,26612,high_frequency,2
C000256,2024-06-04,business,Castanedaville,OH,31592,low_frequency,1
C000257,2022-01-07,individual,Armstrongshire,GA,39281,low_frequency,8
C000258,2023-09-06,individual,Andrewfurt,FL,36477,seasonal,1
C000259,2024-10-27,individual,New Michelleton,CA,79983,medium_frequency,0
C000260,2024-02-03,individual,Wallport,MI,30663,medium_frequency,0
C000261,2024-07-29,individual,Jefferyborough,CA,81882,medium_frequency,2
C000262,2023-11-01,individual,Ericaberg,OH,82846,medium_frequency,2
C000263,2024-12-01,individual,Lake Debbieport,TX,58280,high_frequency,0
C000264,2024-02-09,individual,New Michaelberg,CA,12314,medium_frequency,0
C000265,2022-01-01,individual,Markchester,GA,23522,high_frequency,4
C000266,2023-12-25,individual,East Kristin,IL,48454,low_frequency,2
C000267,2023-02-09,individual,Mariaview,NC,63657,low_frequency,1
C000268,2023-10-26,individual,Juliemouth,MI,15596,low_frequency,0
C000269,2023-10-11,business,Mccartyberg,OH,99349,high_frequency,2
C000270,2024-05-11,individual,Port Erica,IL,88896,medium_frequency,0
C000271,2024-10-13,individual,Coffeyside,OH,48443,low_frequency,1
C000272,2023-08-20,individual,Port Ralphview,TX,70830,low_frequency,2
C000273,2023-03-27,individual,South Miguelview,GA,77120,medium_frequency,4
C000274,2024-11-14,individual,Carsonstad,IL,14702,medium_frequency,0
C000275,2024-06-01,individual,South Angel,OH,74085,medium_frequency,0
C000276,2024-03-22,individual,Rosebury,NC,85390,medium_frequency,3
C000277,2024-04-06,individual,Lake Madisonport,NY,85598,low_frequency,0
C000278,2022-12-17,individual,Wilsonton,OH,05378,high_frequency,9
C000279,2024-07-07,business,Wendyville,OH,13240,medium_frequency,0
C000280,2024-12-11,individual,New Derek,IL,59960,high_frequency,0
C000281,2024-02-17,individual,Ellenside,NC,55436,medium_frequency,4
C000282,2024-06-16,individual,South Diana,IL,64640,low_frequency,0
C000283,2024-12-29,individual,Crosbyview,GA,04789,low_frequency,0
C000284,2024-08-24,individual,Jeffmouth,NC,31448,medium_frequency,0
C000285,2022-08-03,individual,Corystad,CA,71865,medium_frequency,6
C000286,2024-11-12,business,Bruceview,IL,25379,medium_frequency,0
C000287,2024-11-26,individual,Port Madisonland,GA,87371,low_frequency,0
C000288,2024-01-30,business,Lake Danielle,NY,03300,low_frequency,2
C000289,2022-01-01,individual,Port Matthewberg,FL,74501,medium_frequency,6
C000290,2024-09-26,individual,North Maria,MI,73142,low_frequency,1
C000291,2024-07-07,individual,New Jason,MI,31040,high_frequency,0
C000292,2024-07-26,individual,Kimtown,OH,36843,low_frequency,1
C000293,2022-05-16,wholesale,East Amber,MI,23372,low_frequency,3
C000294,2024-04-28,wholesale,Lake Michelleberg,TX,02448,medium_frequency,0
C000295,2024-09-29,individual,Kristybury,NC,77683,low_frequency,0
C000296,2024-02-18,individual,Alfredview,NC,07369,medium_frequency,2
C000297,2024-09-05,individual,Lake Robert,TX,15397,medium_frequency,0
C000298,2023-01-07,individual,South Shanestad,GA,67772,seasonal,3
C000299,2023-09-02,individual,South Williamton,PA,95822,seasonal,2
C000300,2023-09-18,individual,Stephentown,PA,08473,medium_frequency,2
C000301,2024-11-18,business,Boonechester,CA,90429,seasonal,1
C000302,2022-11-09,individual,South Jennifermouth,tx,10133,high_frequency,1
C000303,2024-07-27,individual,West Charleneland,CA,17041,low_frequency,1
C000304,2023-05-28,individual,Claudiashire,CA,72375,low_frequency,3
C000305,2024-10-28,individual,Oscarhaven,NC,39153,medium_frequency,0
C000306,2024-11-20,individual,Wagnerchester,OH,13500,seasonal,0
C000307,2022-01-01,individual,Port Dianaside,OH,94982,low_frequency,4
C000308,2023-04-15,individual,South Shannon,OH,30450,high_frequency,2
C000309,2023-04-19,individual,Morganmouth,OH,52763,medium_frequency,3
C000310,2024-11-28,individual,Blairmouth,NC,56437,medium_frequency,0
C000311,2024-09-12,individual,Elizabethstad,GA,20507,low_frequency,0
C000312,2024-11-10,individual,Jonesland,OH,12720,low_frequency,0
C000313,2022-01-01,individual,Davisstad,IL,17555,medium_frequency,8
C000314,2022-03-26,individual,New Sueside,NY,43708,high_frequency,5
C000315,2024-10-25,individual,South Michaelchester,CA,95011,seasonal,1
C000316,2024-07-29,individual,West Carolinestad,NY,14080,medium_frequency,1
C000317,2022-01-01,business,East Diane,FL,29893,low_frequency,13
C000318,2024-02-05,individual,West Meganstad,CA,15559,low_frequency,2
C000319,2024-04-30,individual,Audreychester,MI,74027,medium_frequency,1
C000320,2024-10-28,individual,New Sarahview,FL,04295,high_frequency,0
C000321,2024-05-25,individual,West Jacqueline,OH,41000,medium_frequency,0
C000322,2024-08-23,individual,Michaelburgh,FL,19277,low_frequency,0
C000323,2024-09-05,business,Jonestown,GA,12527,low_frequency,0
C000324,2022-02-15,individual,South Robert,FL,45182,medium_frequency,3
C000325,2024-09-05,wholesale,West Larry,CA,43018,medium_frequency,2
C000326,2023-09-17,individual,North Ericton,TX,88839,medium_frequency,0
C000327,2023-12-12,individual,West Scottchester,GA,64157,high_frequency,3
C000328,2024-10-08,individual,Perryborough,GA,99452,medium_frequency,1
C000329,2023-02-20,individual,West Russellport,TX,89396,low_frequency,4
C000330,2024-08-25,business,Roseport,MI,06453,low_frequency,1
C000331,2023-05-29,individual,South Tracey,OH,07681,low_frequency,2
C000332,2023-11-04,individual,East Kevinborough,PA,18488,high_frequency,3
C000333,2024-10-28,individual,Keithville,IL,01514,medium_frequency,0
C000334,2023-05-27,individual,Burgessburgh,CA,17433,medium_frequency,0
C000335,2024-12-03,individual,Patelbury,PA,66071,high_frequency,0
C000336,2023-10-24,business,Charleston,PA,57677,medium_frequency,3
C000337,2023-09-17,individual,South Samanthamouth,NC,75966,seasonal,3
C000338,2022-01-01,individual,Berrychester,PA,38448,medium_frequency,4
C000339,2023-10-15,individual,South Andrewmouth,NY,23028,low_frequency,2
C000340,2024-04-08,individual,Collierstad,CA,12052,medium_frequency,1
C000341,2024-07-22,individual,Richardbury,PA,57605,low_frequency,1
C000342,2023-10-31,individual,Warrenfurt,NY,41169,medium_frequency,2
C000343,2023-11-21,business,Jeffreyburgh,TX,10512,high_frequency,1
C000344,2024-02-05,individual,New Williamstad,NC,46520,low_frequency,1
C000345,2022-12-14,individual,East Curtis,FL,34051,low_frequency,3
C000346,2023-04-25,individual,East Carrie,FL,86419,medium_frequency,2
C000347,2024-02-02,individual,East Stephaniefort,TX,61312,medium_frequency,3
C000348,2024-10-26,individual,Maldonadoshire,NY,84779,high_frequency,0
C000349,2024-09-18,individual,Michellemouth,TX,20287,high_frequency,0
C000350,2022-01-01,individual,Jonesmouth,GA,83257,medium_frequency,3
C000351,2024-06-06,individual,Laurashire,NY,07863,low_frequency,1
C000352,2023-12-10,individual,Williamport,GA,61022,high_frequency,2
C000353,2023-12-13,individual,Johnsonstad,TX,38128,seasonal,3
C000354,2024-06-16,individual,Lake Michelleland,OH,81111,medium_frequency,2
C000355,2022-12-22,individual,Fordside,ga,97352,medium_frequency,3
C000356,2024-07-29,individual,South Reginashire,FL,85938,medium_frequency,1
C000357,2024-03-19,individual,West Cassidy,NC,66216,medium_frequency,0
C000358,2023-09-16,individual,North Shannon,NY,45516,medium_frequency,2
C000359,2023-06-05,individual,New Debbieton,TX,32973,medium_frequency,5
C000360,2022-07-26,individual,Ritterhaven,NY,69018,medium_frequency,2
C000361,2023-09-05,individual,West Nathan,GA,37580,low_frequency,5
C000362,2024-01-29,individual,Ortizmouth,NY,89485,medium_frequency,0
C000363,2023-01-27,individual,Port Crystalmouth,PA,09140,medium_frequency,2
C000364,2024-05-29,individual,Codyfurt,NC,37744,low_frequency,2
C000365,2024-11-24,individual,Jenniferberg,NC,44195,low_frequency,1
C000366,2024-09-13,individual,New Elizabethstad,CA,41163,seasonal,1
C000367,2024-11-09,business,Andersonland,MI,41078,low_frequency,0
C000368,2024-10-24,individual,Schneidermouth,MI,17251,high_frequency,0
C000369,2024-11-03,individual,Lake Ellenhaven,GA,47926,low_frequency,0
C000370,2023-10-10,individual,West Kyleborough,FL,45292,low_frequency,1
C000371,2024-01-26,individual,Leeberg,IL,20809,medium_frequency,1
C000372,2023-10-11,individual,West Meganville,PA,67044,low_frequency,0
C000373,2024-11-17,individual,Lake Matthewberg,NY,78783,medium_frequency,0
C000374,2024-09-26,individual,Mooreburgh,CA,91313,high_frequency,0
C000375,2024-05-25,business,Lake Samuel,IL,54353,high_frequency,2
C000376,2024-02-14,individual,Ericabury,FL,58723,high_frequency,3
C000377,2022-01-01,individual,Karenmouth,NY,31172,seasonal,3
C000378,2022-01-01,individual,West Tammy,GA,61975,medium_frequency,4
C000379,2024-04-30,individual,West Erika,FL,75267,medium_frequency,0
C000380,2024-11-09,individual,Murrayport,NY,50553,high_frequency,0
C000381,2023-11-18,business,Burchborough,CA,79755,medium_frequency,2
C000382,2024-10-30,individual,Port John,PA,84541,low_frequency,0
C000383,2023-12-01,wholesale,Sawyerside,MI,13947,medium_frequency,3
C000384,2024-09-19,individual,West Christopherburgh,GA,36256,high_frequency,0
C000385,2024-11-17,individual,Whiteheadberg,FL,57841,low_frequency,0
C000386,2024-10-03,individual,East Lisastad,IL,03996,low_frequency,0
C000387,2024-02-20,individual,Brownhaven,NY,49516,low_frequency,1
C000388,2024-12-12,wholesale,South Virginia,NC,49641,seasonal,1
C000389,2023-08-09,individual,North Lucas,NC,13488,seasonal,2
C000390,2023-12-13,individual,Laceyberg,FL,05521,high_frequency,1
C000391,2023-05-08,individual,Samanthafort,NC,91736,low_frequency,3
C000392,2022-12-20,individual,Port Janice,PA,59300,medium_frequency,2
C000393,2024-08-07,individual,North Andrewborough,MI,20098,low_frequency,1
C000394,2023-10-24,individual,Rodriguezport,NC,31648,medium_frequency,1
C000395,2024-03-18,individual,Davidbury,PA,55528,medium_frequency,2
C000396,2024-01-28,individual,Brownfort,MI,78716,high_frequency,2
