movement_id,fc_id,sku_id,movement_type,quantity,movement_date,reference_id
MOV731732,FC_CA01,SKU000926,receipt,46,2025-07-25,REF57358
MOV218960,FC_IL06,SKU001250,transfer_in,28,2025-05-21,REF35004
MOV337427,FC_GA04,SKU000896,receipt,47,2025-05-05,REF63539
MOV878899,FC_FL07,SKU000798,receipt,26,2025-06-26,REF58852
MOV381442,FC_FL07,SKU001119,adjustment,2,2025-05-18,REF27482
MOV356585,FC_TX03,SKU001715,shipment,21,2025-05-16,REF46157
MOV535469,FC_FL07,SKU000600,transfer_in,2,2025-06-23,REF38755
MOV467781,FC_TX03,SKU001111,shipment,48,2025-06-02,REF26161
MOV538759,FC_TX03,SKU001864,adjustment,1,2025-06-27,REF75048
MOV678426,FC_NJ05,SKU001914,adjustment,6,2025-06-18,REF35576
MOV788850,FC_IL06,SKU000333,receipt,44,2025-06-16,REF72071
MOV605320,FC_FL07,SKU001810,transfer_out,40,2025-07-15,REF30692
MOV897007,FC_WA02,SKU001432,transfer_out,25,2025-05-04,REF50372
MOV341158,FC_GA04,SKU000388,adjustment,3,2025-07-27,REF83747
MOV621884,FC_IL06,SKU000557,shipment,26,2025-07-21,REF25825
MOV626426,FC_TX03,SKU001785,transfer_in,4,2025-06-17,REF81928
MOV812021,FC_GA04,SKU000930,receipt,39,2025-05-25,REF28575
MOV587983,FC_NJ05,SKU001517,shipment,18,2025-07-20,REF24567
MOV873133,FC_TX03,SKU000891,transfer_in,49,2025-06-04,REF91861
MOV546137,FC_GA04,SKU001790,receipt,2,2025-05-29,REF64559
MOV395550,FC_NJ05,SKU000151,shipment,12,2025-06-02,REF57104
MOV869443,FC_NJ05,SKU001315,adjustment,11,2025-05-20,REF88526
MOV270213,FC_NJ05,SKU000019,transfer_in,47,2025-06-18,REF44186
MOV119393,FC_NJ05,SKU001624,receipt,19,2025-07-22,REF36630
MOV379279,FC_IL06,SKU001819,receipt,2,2025-06-15,REF66700
MOV726819,FC_NJ05,SKU000464,transfer_in,2,2025-06-06,REF49293
MOV877181,FC_GA04,SKU000863,transfer_in,26,2025-06-04,REF44914
MOV984234,FC_GA04,SKU001300,shipment,34,2025-05-28,REF10058
MOV538118,FC_GA04,SKU001178,adjustment,19,2025-06-06,REF77863
MOV722895,FC_FL07,SKU001661,receipt,49,2025-06-25,REF49299
MOV256755,FC_GA04,SKU000796,transfer_out,31,2025-06-01,REF38412
MOV269374,FC_FL07,SKU001051,transfer_in,39,2025-06-18,REF34749
MOV516165,FC_TX03,SKU000223,receipt,29,2025-06-24,REF40436
