order_id,customer_id,order_date,order_total,shipping_cost,shipping_method,fulfillment_center,order_status,total_weight,customer_zip
ORD00000051,C007693,2024-11-06,251.58,0.0,standard_free,FC_IL06,delivered,3.07,46788
ORD00000052,C004747,2024-12-30,1461.17,0.0,standard_free,FC_TX03,pending,13.3,11339
ORD00000053,C003305,2024-12-24,262.14,0.0,standard_free,FC_NJ05,delivered,4.63,80928
ORD00000054,C000503,2024-07-21,8.16,8.99,standard,,delivered,1.51,52213
ORD00000055,C002837,2024-10-18,683.24,0.0,standard_free,FC_CA01,delivered,6.33,68515
ORD00000056,C000392,2023-09-24,181.41,0.0,standard_free,FC_TX03,delivered,11.56,59300
ORD00000057,C009259,2023-03-29,51.14,8.99,standard,FC_TX03,delivered,1.73,32933
ORD00000058,C002159,2022-06-26,10.25,8.99,standard,FC_IL06,delivered,1.04,72960
ORD00000059,C009166,2023-10-02,179.61,0.0,standard_free,FC_WA02,delivered,1.71,06528
ORD00000060,C002399,2024-05-16,7.34,8.99,standard,FC_WA02,delivered,1.6,77990
ORD00000061,C007904,2024-06-07,246.08,0.0,standard_free,FC_GA04,delivered,3.23,43846
ORD00000062,C008420,2024-01-11,53.65,15.99,expedited,FC_WA02,delivered,1.33,59056
ORD00000063,C002236,2023-01-08,44.14,0.0,standard_free,,delivered,1.7,19206
ORD00000064,C000861,2023-06-18,145.99,0.0,standard_free,,delivered,0.85,74457
ORD00000065,C007252,2024-12-09,173.91,0.0,standard_free,FC_TX03,delivered,10.56,38653
ORD00000066,C001179,2024-01-30,64.26,0.0,standard_free,FC_IL06,delivered,2.13,25031
ORD00000067,C004288,2024-10-03,940.09,0.0,standard_free,FC_TX03,delivered,11.27,26189
ORD00000068,C003960,2024-05-15,346.34,0.0,standard_free,FC_IL06,delivered,4.39,47874
ORD00000069,C008944,2024-10-18,645.54,0.0,standard_free,FC_FL07,delivered,2.14,16917
ORD00000070,C007477,2024-03-27,51.1,8.99,standard,FC_GA04,delivered,1.33,05945
ORD00000071,C001369,2023-08-18,176.9,0.0,standard_free,FC_WA02,delivered,3.5,61263
ORD00000072,C002168,2024-12-07,120.33,0.0,standard_free,FC_NJ05,delivered,3.68,22860
ORD00000073,C000663,2024-10-18,669.77,0.0,standard_free,FC_TX03,delivered,2.11,42301
ORD00000074,C007273,2023-11-26,136.12,0.0,standard_free,,delivered,2.47,32823
ORD00000075,C009939,2024-10-21,32.35,8.99,standard,FC_TX03,delivered,3.7,76636
ORD00000076,C004412,2024-03-24,94.71,0.0,standard_free,FC_CA01,delivered,5.92,15977
ORD00000077,C003816,2023-07-19,471.7,0.0,standard_free,FC_WA02,delivered,1.63,27650
ORD00000078,C009437,2024-10-15,531.69,0.0,standard_free,FC_GA04,delivered,5.36,75654
ORD00000079,C009789,2024-05-30,108.38,0.0,standard_free,,delivered,3.4,74448
ORD00000080,C000962,2023-11-28,296.79,0.0,standard_free,FC_IL06,delivered,1.31,01768
ORD00000081,C008135,2024-08-15,197.72,0.0,standard_free,,delivered,3.44,98215
ORD00000082,C004501,2023-09-11,309.64,0.0,standard_free,FC_TX03,delivered,1.02,59652
ORD00000083,C002991,2024-08-12,704.28,0.0,standard_free,FC_FL07,delivered,4.88,77108
ORD00000084,C007561,2024-06-04,88.91,0.0,standard_free,FC_NJ05,delivered,7.82,06434
ORD00000085,C004510,2023-11-13,23.24,8.99,standard,FC_TX03,delivered,2.89,51894
ORD00000086,C005391,2022-12-11,147.99,0.0,standard_free,,delivered,1.51,50225
ORD00000087,C004940,2023-11-27,311.15,0.0,standard_free,FC_NJ05,delivered,8.92,30547
ORD00000088,C005722,2024-02-12,4.54,8.99,standard,FC_TX03,delivered,3.14,66165
ORD00000089,C006687,2023-04-28,438.02,0.0,standard_free,FC_NJ05,delivered,11.59,39785
ORD00000090,C000516,2024-09-03,5.75,8.99,standard,FC_NJ05,delivered,1.27,05389
ORD00000091,C001795,2024-09-09,321.9,0.0,standard_free,,delivered,2.56,77765
ORD00000092,C007996,2023-01-29,9.11,8.99,standard,FC_NJ05,delivered,1.04,65966
ORD00000093,C003080,2024-05-14,284.83,0.0,standard_free,FC_WA02,delivered,4.49,18599
ORD00000094,C005350,2024-08-06,216.85,0.0,standard_free,FC_TX03,delivered,4.38,23096
ORD00000095,C009952,2023-10-22,240.7,0.0,standard_free,FC_NJ05,delivered,3.05,92882
ORD00000096,C002476,2024-09-14,185.56,0.0,standard_free,FC_FL07,delivered,2.39,50966
ORD00000097,C009486,2024-01-22,36.08,8.99,standard,,delivered,5.28,94069
ORD00000098,C004319,2023-12-23,75.31,0.0,standard_free,FC_GA04,delivered,1.08,06646
ORD00000099,C000831,2024-11-28,569.62,0.0,standard_free,FC_CA01,delivered,4.44,23484
ORD00000100,C007134,2024-05-23,454.23,0.0,standard_free,FC_IL06,delivered,2.29,71469
ORD00000101,C001608,2024-09-11,502.18,0.0,standard_free,FC_WA02,delivered,15.75,17895
ORD00000102,C003382,2023-09-07,57.41,8.99,standard,FC_WA02,delivered,6.05,47878
ORD00000103,C006866,2024-09-03,121.14,0.0,standard_free,FC_CA01,delivered,2.26,47425
ORD00000104,C003671,2024-02-27,318.11,0.0,standard_free,FC_NJ05,delivered,3.74,55966
ORD00000105,C009084,2024-08-30,10.14,8.99,standard,FC_CA01,delivered,5.44,61139
ORD00000106,C003470,2024-07-21,159.19,0.0,standard_free,FC_TX03,cancelled,2.55,09744
ORD00000107,C002740,2024-06-28,727.07,0.0,standard_free,FC_WA02,delivered,15.8,44211
ORD00000108,C007204,2024-06-03,418.7,0.0,standard_free,FC_GA04,delivered,20.31,75818
ORD00000109,C002292,2024-02-03,11.18,8.99,standard,,delivered,7.14,86910
ORD00000110,C003727,2024-07-23,22.94,8.99,standard,FC_NJ05,delivered,2.01,12946
ORD00000111,C009943,2022-06-25,787.65,0.0,standard_free,FC_NJ05,delivered,9.26,28947
ORD00000112,C001683,2024-12-02,543.26,0.0,standard_free,FC_TX03,delivered,4.93,91497
ORD00000113,C007594,2024-08-15,126.24,0.0,standard_free,,delivered,0.83,29588
ORD00000114,C004119,2023-12-09,9.48,8.99,standard,FC_TX03,delivered,2.99,34790
ORD00000115,C003554,2024-09-26,2.05,8.99,standard,FC_TX03,delivered,4.29,88556
ORD00000116,C007294,2024-09-29,205.56,0.0,standard_free,FC_GA04,delivered,3.99,40276
ORD00000117,C007923,2023-10-15,1180.37,0.0,standard_free,FC_FL07,delivered,3.55,01145
ORD00000118,C004269,2023-08-22,252.39,0.0,standard_free,FC_CA01,delivered,8.94,71361
ORD00000119,C001939,2024-12-23,619.15,0.0,standard_free,FC_NJ05,delivered,8.1,19583
ORD00000120,C009557,2024-08-16,592.9,0.0,standard_free,,delivered,10.14,30632
ORD00000121,C004854,2024-11-24,92.48,0.0,standard_free,FC_FL07,delivered,3.06,73862
ORD00000122,C004672,2024-09-02,283.13,0.0,standard_free,FC_CA01,delivered,1.43,81027
ORD00000123,C007189,2024-12-28,212.41,0.0,standard_free,FC_IL06,shipped,20.22,86172
ORD00000124,C003783,2024-03-24,480.94,0.0,standard_free,FC_TX03,delivered,4.58,83527
ORD00000125,C007136,2024-09-06,32.74,8.99,standard,FC_IL06,delivered,3.71,73022
ORD00000126,C005450,2023-05-03,291.22,0.0,standard_free,FC_CA01,delivered,5.34,19286
ORD00000127,C009127,2023-07-13,70.78,8.99,standard,FC_WA02,delivered,4.66,58306
ORD00000128,C004814,2024-12-05,111.96,0.0,standard_free,FC_IL06,delivered,6.03,36863
ORD00000129,C009921,2022-06-18,527.99,0.0,standard_free,FC_CA01,delivered,7.67,65457
ORD00000130,C008309,2023-11-09,368.65,0.0,standard_free,FC_FL07,delivered,5.32,28662
ORD00000131,C008611,2023-11-27,357.28,0.0,standard_free,FC_IL06,delivered,3.22,69438
ORD00000132,C006796,2024-12-24,387.49,0.0,standard_free,FC_GA04,delivered,8.32,79866
ORD00000133,C008819,2024-10-30,342.03,0.0,standard_free,FC_TX03,delivered,5.96,33815
ORD00000134,C001409,2023-05-29,566.42,0.0,standard_free,FC_CA01,delivered,5.15,01304
ORD00000135,C008169,2024-07-20,735.42,0.0,standard_free,FC_CA01,delivered,6.31,14010
ORD00000136,C004025,2024-10-25,109.19,0.0,standard_free,,delivered,2.35,57293
ORD00000137,C008852,2024-09-23,853.52,0.0,standard_free,FC_TX03,delivered,9.81,98631
ORD00000138,C002079,2024-09-14,671.15,0.0,standard_free,FC_NJ05,delivered,7.49,65503
ORD00000139,C009977,2024-08-27,7.09,8.99,standard,,delivered,1.07,34350
ORD00000140,C002197,2023-05-31,82.09,0.0,standard_free,FC_IL06,delivered,2.31,84654
ORD00000141,C004330,2024-08-24,49.04,8.99,standard,,delivered,3.15,81204
ORD00000142,C000012,2023-12-14,49.84,8.99,standard,,delivered,10.49,06507
ORD00000143,C004566,2024-11-26,82.54,0.0,standard_free,FC_WA02,delivered,9.73,49828
ORD00000144,C006954,2024-09-05,1477.67,0.0,standard_free,FC_TX03,delivered,8.57,39934
ORD00000145,C002905,2023-02-04,34.7,8.99,standard,FC_GA04,delivered,2.17,56403
ORD00000146,C001517,2024-07-19,106.21,0.0,standard_free,FC_TX03,delivered,4.5,80518
ORD00000147,C002354,2023-04-27,330.74,0.0,standard_free,FC_NJ05,delivered,8.83,61929
ORD00000148,C006322,2024-02-03,30.07,8.99,standard,FC_TX03,delivered,1.69,86504
ORD00000149,C009096,2024-09-11,52.57,8.99,standard,FC_GA04,delivered,2.39,17762
ORD00000150,C008105,2023-09-26,309.46,0.0,standard_free,,delivered,3.64,34599
ORD00000151,C002780,2024-01-27,28.9,15.99,expedited,,delivered,1.61,26680
ORD00000152,C005170,2024-03-28,253.37,0.0,standard_free,,delivered,1.04,90361
ORD00000153,C002500,2024-03-02,91.06,0.0,standard_free,FC_CA01,delivered,4.53,36129
ORD00000154,C007586,2024-12-15,268.86,0.0,standard_free,FC_FL07,delivered,2.93,53847
ORD00000155,C007987,2024-06-30,88.41,0.0,standard_free,FC_FL07,delivered,0.26,05974
ORD00000156,C005573,2023-07-14,48.65,15.99,expedited,FC_GA04,delivered,5.97,88558
ORD00000157,C003389,2023-10-27,2019.42,0.0,standard_free,FC_CA01,delivered,17.87,14083
ORD00000158,C007164,2024-10-10,67.06,8.99,standard,FC_FL07,delivered,1.28,23811
ORD00000159,C008323,2024-06-10,260.23,0.0,standard_free,FC_GA04,delivered,10.49,87043
ORD00000160,C003305,2024-08-01,18.54,15.99,expedited,FC_CA01,delivered,4.42,80928
ORD00000161,C009206,2023-07-30,443.3,0.0,standard_free,FC_IL06,delivered,2.88,87050
ORD00000162,C009901,2024-05-09,139.18,0.0,standard_free,,delivered,11.35,76390
ORD00000163,C006285,2024-04-09,3.34,8.99,standard,,delivered,1.11,03926
ORD00000164,C006098,2024-11-15,1037.74,0.0,standard_free,FC_TX03,delivered,12.78,22562
ORD00000165,C000285,2024-07-05,438.42,0.0,standard_free,FC_CA01,delivered,9.3,71865
ORD00000166,C002671,2023-08-22,864.43,0.0,standard_free,,delivered,9.04,98153
ORD00000167,C005998,2023-04-30,382.99,0.0,standard_free,,delivered,3.67,88668
ORD00000168,C003398,2024-01-04,19.55,8.99,standard,FC_TX03,delivered,4.26,98384
ORD00000169,C006565,2024-02-19,392.59,0.0,standard_free,,delivered,1.05,70646
ORD00000170,C005703,2023-03-22,92.86,0.0,standard_free,FC_GA04,delivered,0.95,46898
ORD00000171,C005408,2023-12-05,188.37,0.0,standard_free,FC_NJ05,delivered,1.53,33094
ORD00000172,C000989,2022-10-05,79.13,0.0,standard_free,FC_TX03,delivered,6.65,94434
ORD00000173,C002047,2024-12-11,137.27,0.0,standard_free,FC_WA02,delivered,8.8,03826
ORD00000174,C003305,2024-10-24,55.05,8.99,standard,FC_TX03,delivered,4.23,80928
ORD00000175,C007434,2024-07-06,250.68,0.0,standard_free,FC_IL06,delivered,1.24,53281
ORD00000176,C002985,2023-10-29,176.08,0.0,standard_free,,delivered,9.23,62612
ORD00000177,C003521,2024-11-04,89.95,0.0,standard_free,FC_NJ05,delivered,3.43,41947
ORD00000178,C005630,2024-10-11,408.59,0.0,standard_free,FC_NJ05,cancelled,3.5,05840
ORD00000179,C003517,2024-01-19,41.52,8.99,standard,FC_TX03,delivered,7.36,51090
ORD00000180,C007755,2024-10-21,342.83,0.0,standard_free,FC_NJ05,delivered,4.02,26159
ORD00000181,C008557,2024-10-11,705.0,0.0,standard_free,FC_TX03,delivered,5.85,54226
ORD00000182,C004646,2024-11-16,1375.43,0.0,standard_free,FC_CA01,delivered,7.18,02634
ORD00000183,C008678,2024-07-13,575.4,0.0,standard_free,,delivered,3.29,58648
ORD00000184,C003190,2024-12-09,1423.46,0.0,standard_free,FC_NJ05,delivered,9.6,30434
ORD00000185,C008137,2024-11-29,295.78,0.0,standard_free,FC_FL07,cancelled,1.1,75266
ORD00000186,C009201,2024-09-12,45.88,15.99,expedited,,delivered,1.26,06265
ORD00000187,C002137,2024-11-10,191.21,0.0,standard_free,FC_FL07,delivered,10.71,88959
ORD00000188,C005840,2024-11-23,6.47,15.99,expedited,,delivered,5.57,73374
ORD00000189,C000809,2024-10-11,428.97,0.0,standard_free,FC_CA01,delivered,2.43,66350
ORD00000190,C008801,2024-02-03,20.24,8.99,standard,FC_TX03,delivered,5.15,59430
ORD00000191,C005890,2024-05-17,27.47,15.99,expedited,,delivered,3.07,45893
ORD00000192,C006473,2024-11-05,274.53,0.0,standard_free,FC_CA01,delivered,6.41,91896
ORD00000193,C007362,2024-07-22,146.45,0.0,standard_free,FC_CA01,delivered,1.22,01594
ORD00000194,C006003,2022-06-22,14.13,8.99,standard,FC_WA02,delivered,2.33,94429
ORD00000195,C001733,2024-07-27,4.75,8.99,standard,,delivered,1.99,64009
ORD00000196,C009080,2024-02-21,109.09,0.0,standard_free,,delivered,5.48,06898
ORD00000197,C003215,2022-09-24,562.25,0.0,standard_free,FC_IL06,delivered,6.72,09094
ORD00000198,C001191,2023-10-21,67.82,8.99,standard,FC_NJ05,delivered,1.55,08370
ORD00000199,C003432,2022-01-24,160.3,0.0,standard_free,FC_TX03,delivered,12.21,45753
ORD00000200,C001321,2024-05-06,443.36,0.0,standard_free,,delivered,6.64,81897
ORD00000201,C003722,2024-05-03,738.54,0.0,standard_free,FC_TX03,delivered,16.8,05569
ORD00000202,C007659,2024-12-28,144.26,0.0,standard_free,,delivered,1.39,81097
ORD00000203,C003604,2023-06-11,275.02,0.0,standard_free,FC_IL06,delivered,12.62,90715
ORD00000204,C007431,2023-02-15,400.37,0.0,standard_free,FC_WA02,delivered,9.2,46757
ORD00000205,C004614,2023-12-01,623.62,0.0,standard_free,FC_IL06,delivered,12.8,08467
ORD00000206,C008609,2024-01-24,282.35,0.0,standard_free,FC_CA01,delivered,13.42,66619
ORD00000207,C007494,2023-09-17,12.96,0.0,standard_free,FC_CA01,delivered,4.9,95397
ORD00000208,C007176,2024-03-07,519.8,0.0,standard_free,FC_CA01,delivered,12.13,87531
ORD00000209,C007670,2022-09-17,827.12,0.0,standard_free,FC_WA02,delivered,9.21,13341
ORD00000210,C005352,2024-08-19,46.31,15.99,expedited,FC_WA02,delivered,0.09,69423
ORD00000211,C006547,2024-12-15,305.06,0.0,standard_free,FC_WA02,delivered,3.34,62955
ORD00000212,C000516,2023-08-13,246.48,0.0,standard_free,FC_TX03,delivered,2.44,05389
ORD00000213,C001434,2023-08-02,12.15,8.99,standard,FC_NJ05,delivered,2.94,38061
ORD00000214,C007010,2022-12-16,413.59,0.0,standard_free,FC_FL07,delivered,0.54,30851
ORD00000215,C007930,2024-07-22,21.69,8.99,standard,,delivered,8.87,81722
ORD00000216,C007738,2022-10-19,155.3,0.0,standard_free,,delivered,5.01,02949
ORD00000217,C006794,2024-10-29,9.49,8.99,standard,FC_WA02,delivered,0.64,77065
ORD00000218,C000823,2024-12-08,276.19,0.0,standard_free,FC_TX03,delivered,7.78,17604
ORD00000219,C000983,2024-08-06,386.82,0.0,standard_free,FC_GA04,delivered,16.01,59099
ORD00000220,C008891,2023-11-29,1120.99,0.0,standard_free,FC_GA04,delivered,7.42,76161
ORD00000221,C001030,2024-03-18,62.82,8.99,standard,FC_NJ05,delivered,1.66,82469
ORD00000222,C001236,2023-03-02,221.52,0.0,standard_free,FC_CA01,delivered,2.59,43787
ORD00000223,C004069,2023-08-09,157.52,0.0,standard_free,FC_TX03,delivered,4.48,95405
ORD00000224,C005774,2024-07-10,230.32,0.0,standard_free,FC_FL07,delivered,17.86,38765
ORD00000225,C002912,2024-02-02,829.63,0.0,standard_free,FC_NJ05,delivered,15.1,57304
ORD00000226,C001596,2023-10-08,218.76,0.0,standard_free,FC_WA02,delivered,1.61,60607
ORD00000227,C001567,2023-08-13,147.56,0.0,standard_free,FC_TX03,delivered,8.29,22527
ORD00000228,C000083,2024-08-15,588.4,0.0,standard_free,FC_IL06,delivered,12.32,66745
ORD00000229,C002946,2023-01-04,80.02,0.0,standard_free,FC_FL07,delivered,8.56,06043
ORD00000230,C002855,2023-11-19,1919.48,0.0,standard_free,FC_TX03,delivered,8.22,31562
ORD00000231,C004466,2023-05-01,51.04,8.99,standard,FC_WA02,delivered,4.63,80056
ORD00000232,C008288,2024-12-11,58.24,8.99,standard,FC_IL06,delivered,1.96,69794
ORD00000233,C008068,2024-09-28,94.28,0.0,standard_free,FC_IL06,delivered,6.26,59979
ORD00000234,C005617,2023-05-28,97.64,0.0,standard_free,FC_NJ05,delivered,12.98,59957
ORD00000235,C003499,2024-03-27,560.46,0.0,standard_free,FC_GA04,delivered,3.22,47704
ORD00000236,C003260,2024-08-14,442.37,0.0,standard_free,FC_GA04,delivered,4.99,85755
ORD00000237,C009506,2022-09-29,1042.77,0.0,standard_free,FC_IL06,cancelled,4.77,44075
ORD00000238,C000794,2024-05-16,93.53,0.0,standard_free,FC_WA02,delivered,0.93,18823
ORD00000239,C008697,2024-03-06,110.29,0.0,standard_free,FC_IL06,delivered,3.41,77062
ORD00000240,C001929,2023-12-12,59.49,8.99,standard,FC_NJ05,delivered,2.7,93321
ORD00000241,C009711,2022-12-14,282.55,0.0,standard_free,FC_NJ05,delivered,3.38,83461
ORD00000242,C005785,2024-03-13,145.97,0.0,standard_free,FC_CA01,delivered,5.23,54802
ORD00000243,C007405,2023-05-02,226.94,0.0,standard_free,FC_NJ05,delivered,3.55,83032
ORD00000244,C001895,2024-04-02,359.51,0.0,standard_free,FC_GA04,delivered,4.1,16896
ORD00000245,C004888,2023-07-10,20.46,15.99,expedited,FC_WA02,delivered,3.71,06872
ORD00000246,C004873,2024-08-01,356.24,0.0,standard_free,FC_NJ05,delivered,5.15,24319
ORD00000247,C002457,2024-09-07,5.98,8.99,standard,FC_CA01,delivered,3.69,58739
ORD00000248,C005210,2023-01-12,345.42,0.0,standard_free,FC_WA02,delivered,16.22,34398
ORD00000249,C008444,2023-08-06,17.88,8.99,standard,FC_NJ05,delivered,2.74,67999
ORD00000250,C007088,2024-06-12,80.62,0.0,standard_free,FC_WA02,delivered,1.76,10209
ORD00000251,C007923,2023-12-05,661.16,0.0,standard_free,FC_TX03,delivered,18.59,01145
ORD00000252,C005490,2022-05-25,182.44,0.0,standard_free,FC_IL06,delivered,8.61,41264
ORD00000253,C009680,2024-10-05,529.63,0.0,standard_free,FC_NJ05,delivered,5.47,74346
ORD00000254,C003691,2022-10-24,466.16,0.0,standard_free,FC_IL06,delivered,5.06,53847
ORD00000255,C001706,2024-07-17,62.96,8.99,standard,FC_WA02,delivered,0.77,16726
ORD00000256,C009338,2023-08-09,902.19,0.0,standard_free,,cancelled,13.39,69754
ORD00000257,C007023,2024-09-11,188.26,0.0,standard_free,FC_NJ05,delivered,3.41,11260
ORD00000258,C000817,2024-12-02,305.0,0.0,standard_free,FC_CA01,delivered,4.28,97245
ORD00000259,C005416,2024-04-22,206.14,0.0,standard_free,FC_IL06,delivered,1.52,39849
ORD00000260,C006731,2024-11-04,285.45,0.0,standard_free,FC_NJ05,delivered,1.11,77722
ORD00000261,C008311,2024-07-08,11.14,8.99,standard,FC_IL06,delivered,1.15,00667
ORD00000262,C009080,2024-03-04,37.12,8.99,standard,,delivered,9.03,06898
ORD00000263,C005339,2024-09-21,162.51,0.0,standard_free,FC_IL06,delivered,14.66,61033
ORD00000264,C009204,2023-09-25,88.62,0.0,standard_free,FC_GA04,delivered,4.15,10900
ORD00000265,C009354,2024-01-28,942.6,0.0,standard_free,,delivered,9.38,81611
ORD00000266,C001970,2024-03-18,260.54,0.0,standard_free,FC_CA01,delivered,4.26,69856
ORD00000267,C001762,2024-05-16,147.1,0.0,standard_free,FC_IL06,delivered,2.57,22341
ORD00000268,C004049,2023-06-06,75.38,0.0,standard_free,FC_CA01,delivered,3.09,18457
ORD00000269,C005396,2024-12-22,569.8,0.0,standard_free,,delivered,12.33,17622
ORD00000270,C006872,2024-09-08,407.85,0.0,standard_free,FC_FL07,delivered,9.5,47996
ORD00000271,C008865,2024-12-10,302.12,0.0,standard_free,FC_TX03,delivered,4.34,45286
ORD00000272,C008826,2024-09-20,140.74,0.0,standard_free,FC_TX03,delivered,0.43,97237
ORD00000273,C001091,2023-02-04,165.84,0.0,standard_free,FC_WA02,delivered,1.07,47529
ORD00000274,C001756,2024-11-30,39.93,8.99,standard,FC_WA02,delivered,11.33,15504
ORD00000275,C006054,2022-05-26,708.61,0.0,standard_free,FC_TX03,delivered,6.77,36910
ORD00000276,C001579,2024-09-28,40.16,8.99,standard,FC_TX03,delivered,1.48,86920
ORD00000277,C008280,2024-10-03,1196.68,0.0,standard_free,FC_TX03,delivered,7.49,84190
ORD00000278,C000273,2024-09-02,11.44,8.99,standard,FC_IL06,delivered,1.52,77120
ORD00000279,C001507,2024-12-12,232.05,0.0,standard_free,FC_IL06,delivered,17.29,54626
ORD00000280,C000338,2024-05-10,624.83,0.0,standard_free,,delivered,4.39,38448
ORD00000281,C006522,2023-08-23,356.91,0.0,standard_free,FC_FL07,delivered,5.79,44484
ORD00000282,C006073,2024-11-13,9.51,15.99,expedited,FC_FL07,delivered,1.72,98373
ORD00000283,C008035,2024-11-19,15.58,8.99,standard,FC_FL07,delivered,4.3,75982
ORD00000284,C005689,2024-08-09,592.82,0.0,standard_free,FC_FL07,delivered,9.1,05712
ORD00000285,C003276,2023-07-19,1024.29,0.0,standard_free,FC_WA02,delivered,7.69,27453
ORD00000286,C003096,2024-09-12,117.35,0.0,standard_free,FC_TX03,delivered,9.74,95872
ORD00000287,C001958,2022-10-30,278.19,0.0,standard_free,FC_WA02,delivered,7.6,74634
ORD00000288,C005727,2024-11-14,796.99,0.0,standard_free,FC_CA01,delivered,18.08,57369
ORD00000289,C006843,2024-08-31,160.71,0.0,standard_free,FC_NJ05,delivered,4.13,14048
ORD00000290,C005062,2024-12-31,162.72,0.0,standard_free,FC_TX03,shipped,0.97,59662
